S.HEMISPH. Temperature Anomalies (.01 degC) AIRS v6 vs. 2007-2016
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
2002  **** **** **** **** **** **** **** ****   10    2  -20   -1   **** ***   **** **** ****   -3  2002
2003    16   25   11    3  -14   -1  -12  -18   -7  -23   43    8      3   2     13    0  -10    4  2003
2004    16   10   -4   -5  -42   -3  -42  -27  -17  -10   -5   10    -10 -10     11  -17  -24  -11  2004
2005    15   14   16    4   -6    6   -2   -6  -15    2  -11   11      2   2     13    5   -1   -8  2005
2006    14   11    3   -6  -32    5  -13   -2  -26  -23  -12  -15     -8  -6     12  -11   -3  -20  2006
2007     2    4    0    4    5    8    3  -15  -27  -24  -20  -30     -8  -6     -3    3   -1  -24  2007
2008   -21  -32  -18   -8  -15  -21    0  -18    0  -15  -18   -2    -14 -16    -28  -14  -13  -11  2008
2009     1    1    5  -12   13    9   18    6   -9   -3   11   13      4   3      0    2   11    0  2009
2010    12   26   18    1  -14  -11  -28  -20   -3   -9  -13  -12     -5  -2     17    2  -20   -9  2010
2011   -11  -15  -19    4  -14    0   23   17  -10  -19  -15  -20     -7  -6    -13  -10   14  -15  2011
2012   -13   -4   -7   -4    0   -9  -21   -2   -7   11    7    5     -4  -6    -13   -3  -10    4  2012
2013    11    4   -2   -1  -12   12  -13    3   24    3    2    8      3   3      7   -5    1   10  2013
2014     0  -16   -6    0   15   -4   -8   -3   20   11    7    4      2   2     -3    3   -5   13  2014
2015     5   11    3  -12   -6    1   -7    2    2   17    8   22      4   2      7   -5   -2    9  2015
2016    15   21   25   29   28   16   30   29   10   29   30   13     23  24     19   27   25   23  2016
2017    16   26   26   13   31   17   22   11    9   24    5   -1     16  18     18   23   16   12  2017
2018    10    1   12   28    6   17   10    6   -1    9    7   20     10   9      3   15   11    5  2018
2019    21   28   28   29   22   30   41   23   19   34   32   38     29  27     23   27   31   28  2019
2020    25    6    5   29   20   28   29    2   19   -3   11  -12     13  17     23   18   19    9  2020
2021    -6  -13   -3    0    0    2   20    7   11  -21  -20    6     -1  -3    -10   -1   10  -10  2021
2022     6    3   14  -18   -6   10    0  -20  -27  -51  -14  -22    -10  -8      5   -3   -3  -31  2022
2023   -25    5   24   25   -3   29   29   12   27    1    0   19     12   9    -14   15   23    9  2023
2024    29   36   37    5    8   15   19   20   -4   -6  -30  -13     10  12     28   17   18  -13  2024
2025    10    2    5   -2  -14  -10  -21  -20  -19  -30  -64  -46    -17 -15      0   -4  -17  -37  2025
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year

S.HEMISPH. Temperature Anomalies (.01 degC) AIRS v7 vs. 2007-2016
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
2002  **** **** **** **** **** **** **** ****   32   22    8   17   **** ***   **** **** ****   20  2002
2003    23   27   20   24   13   19    8   -1    9   -8   61   25     18  18     22   19    9   21  2003
2004    27   14    6   12  -29   12  -35  -21   -1    5    8   19      1   2     22   -3  -15    4  2004
2005    23   21   22   18    7   16    4    4   -7   11   -7   13     10  11     21   16    8   -1  2005
2006    15   12    6    1  -22    9   -7    3  -21  -12   -4  -10     -3  -1     13   -5    1  -12  2006
2007     4    5   -2    8   13   13    6  -12  -17  -20  -18  -30     -4  -3     -1    6    3  -19  2007
2008   -22  -32  -20   -6  -14  -22    9  -14   -1  -14  -15   -3    -13 -15    -28  -13   -9  -10  2008
2009     2   -3   29   -8   13   13   25    7   -9   -2   13    8      7   6     -1   11   15    1  2009
2010    12   22   15    3   -8   -6  -28  -17   -3  -11  -15  -12     -4  -2     14    3  -17  -10  2010
2011    -6  -13  -22    4  -11    3   24   15   -8  -17  -15  -22     -6  -5    -10  -10   14  -13  2011
2012   -22   -6   -9   -4    3   -5  -20   -1  -10   10    0    3     -5  -7    -16   -3   -9    0  2012
2013     8    2   -4    1  -13   14  -17    0   24   -2   -2    4      1   1      4   -5   -1    7  2013
2014     0  -18   -6    0   14   -1   -7    3   20   13    6    3      2   2     -5    3   -2   13  2014
2015     4   15    0  -16  -11  -10  -14   -4   -1   18   16   29      2   0      8   -9   -9   11  2015
2016    21   28   19   18   13    1   21   21    5   25   29   18     18  19     26   17   14   20  2016
2017    22   27   23    7   22    0   11    2    7   14    0   -1     11  13     22   17    4    7  2017
2018    11    2    7   21    2    5    0   -4   -6    2    4   21      5   3      4   10    0    0  2018
2019    23   34   27   19    5    7   19   15    8   25   30   35     21  20     26   17   14   21  2019
2020    25   13    5   22   11   16   15   -7   17    0   16  -14     10  14     24   13    8   11  2020
2021   -10  -14   -6   -6   -7  -10   15    8   18    2   -2   23      1  -2    -13   -6    4    6  2021
2022    23   23   24  -24   10   17   12  -10   -8   -8  -24   -1      3   5     23    3    7  -13  2022
2023     0   27   35   42   18   43   44   31   50   17   22   38     31  27      9   32   39   30  2023
2024    41   50   43   18   24   28   30   41   21    5  -13    5     24  27     43   28   33    4  2024
2025    27   17   11   10    5    2  -10   -6    7   -3  -32  -26      0   3     16    9   -5  -10  2025
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year

S.HEMISPH. Temperature Anomalies (.01 degC) GHCNv4/ERSSTv5 vs. 2007-2016
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
2002     0   -6   12   16   18  -14    3  -10    4   -4  -17   -6      0   0     -4   15   -7   -5  2002
2003     4   12    1    0  -10  -11   -7  -19  -15  -12  -17    0     -6  -6      4   -3  -12  -15  2003
2004    -2    5  -13    2  -37  -11  -52  -26  -20   -6   -9    5    -14 -14      1  -16  -30  -12  2004
2005     3    0    2   -8  -11   -1   -7  -11   -7   -1  -14    1     -5  -4      3   -6   -6   -7  2005
2006    -4    3   -4  -15  -39   -1  -15   11  -11  -15   -3   -9     -9  -8      0  -20   -2  -10  2006
2007     6    2   -3   -4    7    6    0  -15   -8  -24  -20  -30     -7  -5      0    0   -3  -17  2007
2008   -25  -32  -17   -7  -20  -15    6  -28    4   -9  -14   -9    -14 -16    -29  -15  -12   -6  2008
2009    -5  -12   -4    2    7   10   25    4   -3   -6   18   16      4   2     -9    2   13    3  2009
2010    18   25   22    7   -2    0  -17  -14   -5   -4  -15  -12      0   3     20    9  -10   -8  2010
2011    -9   -8  -11   -4  -19   -2   15   17  -23  -18   -3  -20     -7  -6    -10  -11   10  -15  2011
2012   -23   -9   -8  -10    1  -15  -22   -7   -3   11    4    9     -6  -8    -17   -6  -15    4  2012
2013     5   -3    1  -10  -15   12   -4    6   22   -3   -2    4      1   2      4   -8    5    6  2013
2014     3   -9  -17    3   24    2  -14   14   31   10   -3   -5      3   4     -1    3    1   12  2014
2015     2   14    7    0   -4    5    0   -4  -12   29   19   28      7   4      4    1    0   12  2015
2016    29   31   29   23   21   -3   10   29   -4   13   16   17     18  19     29   24   12    9  2016
2017    14   28   29   19   31   -3   11   10  -11   16   -2   -3     12  13     20   27    6    1  2017
2018     0   -2    7   31    3   16   20    4    1   23   14   24     12   9     -2   13   13   13  2018
2019    15   30   26   27   12   10   30   17    3   12   23   31     20  19     23   22   19   13  2019
2020    24   30   17   35   14   17   14   -2   12   -4    4  -11     12  16     28   22   10    4  2020
2021   -15  -15    5  -11   -6   -3   22   -3   19   10   -1    7      1  -1    -13   -4    5    9  2021
2022     6   13   15    9    7   20   27   10    1    4  -20    2      8   8      9   10   19   -5  2022
2023    -6   17   29   47   16   46   40   19   67   23   27   37     30  27      4   31   35   39  2023
2024    32   48   49   33   26   35   45   54   32   34   15   32     36  37     39   36   45   27  2024
2025    38   40   36   38   35   41   27   42   48   32   18   18     34  35     37   36   37   33  2025
Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year

