date,distance,year,month,day,rank,period
1983-04-18,240049.07672914022,1983,4,18,1,past
1960-02-26,241370.48187920195,1960,2,26,2,past
1981-04-16,250374.06975215412,1981,4,16,3,past
1973-04-23,284703.1803625653,1973,4,23,4,past
1979-03-24,302536.41955218936,1979,3,24,5,past
1959-03-10,327285.58403307374,1959,3,10,6,past
1957-04-09,327789.36865864147,1957,4,9,7,past
1965-03-17,350521.19550170854,1965,3,17,8,past
1962-02-22,378494.4162650556,1962,2,22,9,past
1978-04-07,395988.22298969794,1978,4,7,10,past
1964-04-29,402899.13353536546,1964,4,29,11,past
1982-05-01,410625.82846930856,1982,5,1,12,past
1984-03-29,422647.230507955,1984,3,29,13,past
1966-04-05,428073.00491294044,1966,4,5,14,past
1962-04-05,438614.6235316613,1962,4,5,15,past
1998-04-27,121961.84213220575,1998,4,27,1,present
2006-02-10,185843.1335448086,2006,2,10,2,present
2008-03-04,191416.23402720466,2008,3,4,3,present
1998-03-24,245628.28063299126,1998,3,24,4,present
1989-05-03,251641.9409446014,1989,5,3,5,present
2021-04-01,256403.50418413986,2021,4,1,6,present
1997-03-16,277485.23268336087,1997,3,16,7,present
2013-02-26,277895.7731269305,2013,2,26,8,present
2021-04-06,278209.2398383812,2021,4,6,9,present
1998-02-19,278397.7732030447,1998,2,19,10,present
2017-03-28,281923.7747391043,2017,3,28,11,present
1991-03-25,293998.7254324264,1991,3,25,12,present
1990-02-26,295289.926729598,1990,2,26,13,present
2012-03-26,296015.4417026507,2012,3,26,14,present
2022-03-19,300735.48182561505,2022,3,19,15,present
