date,distance,year,month,day,rank,period
1984-12-25,117004.34788921075,1984,12,25,1,past
1979-03-22,133882.7756609737,1979,3,22,2,past
1977-01-28,142634.72121668336,1977,1,28,3,past
1960-03-10,147854.5787794955,1960,3,10,4,past
1967-03-14,161439.65205546905,1967,3,14,5,past
1967-01-17,178673.39115503023,1967,1,17,6,past
1980-03-12,203563.52328205513,1980,3,12,7,past
1970-03-15,245737.50061817028,1970,3,15,8,past
1971-01-08,264670.1457321199,1971,1,8,9,past
1956-01-12,270970.0421929676,1956,1,12,10,past
1956-01-05,292632.0326470611,1956,1,5,11,past
1986-03-04,307982.0665327226,1986,3,4,12,past
1966-02-11,309646.092776379,1966,2,11,13,past
1949-12-26,318231.6333404408,1949,12,26,14,past
1972-01-02,320376.3975926976,1972,1,2,15,past
2006-02-23,75210.88622512975,2006,2,23,1,present
2013-02-24,136485.14468959687,2013,2,24,2,present
1993-02-24,136923.23775515656,1993,2,24,3,present
2017-03-07,140365.51625615268,2017,3,7,4,present
2002-03-19,155155.63499291366,2002,3,19,5,present
2012-03-13,157504.6348972381,2012,3,13,6,present
2013-03-13,166792.96335280236,2013,3,13,7,present
1996-02-01,196783.08144633073,1996,2,1,8,present
2020-03-10,207013.58317383766,2020,3,10,9,present
2004-02-25,223911.4890058667,2004,2,25,10,present
2004-02-12,230812.5701803803,2004,2,12,11,present
2015-01-01,258315.8957985888,2015,1,1,12,present
2024-03-04,259559.81059217348,2024,3,4,13,present
1989-02-07,267062.5870308367,1989,2,7,14,present
2001-03-21,269912.88715753146,2001,3,21,15,present
