date,distance,year,month,day,rank,period
1953-12-25,106762.70747135981,1953,12,25,1,past
1985-01-25,165884.044039168,1985,1,25,2,past
1965-03-11,179256.08948054147,1965,3,11,3,past
1957-03-11,179780.60457587423,1957,3,11,4,past
1959-03-13,213693.67617241445,1959,3,13,5,past
1977-03-11,221971.6968935482,1977,3,11,6,past
1974-03-25,227342.64608462568,1974,3,25,7,past
1982-01-11,237756.8097222908,1982,1,11,8,past
1961-02-15,240523.36362778032,1961,2,15,9,past
1981-03-19,244999.00068981922,1981,3,19,10,past
1956-02-08,248881.66186936738,1956,2,8,11,past
1979-02-21,251680.80844644608,1979,2,21,12,past
1980-01-14,261831.39320248846,1980,1,14,13,past
1978-02-11,290599.6114220219,1978,2,11,14,past
1965-02-06,302535.8030189851,1965,2,6,15,past
2011-02-28,114588.58451353111,2011,2,28,1,present
2004-01-24,169517.54623833913,2004,1,24,2,present
2008-02-16,174704.96408276318,2008,2,16,3,present
1989-03-05,187905.73140375622,1989,3,5,4,present
1999-01-01,197214.7877306967,1999,1,1,5,present
2021-02-18,201668.67369573208,2021,2,18,6,present
2004-02-08,208852.0142920693,2004,2,8,7,present
1997-01-15,218210.22411033532,1997,1,15,8,present
2005-01-04,224867.1457328222,2005,1,4,9,present
1993-01-05,234245.3625211644,1993,1,5,10,present
2006-01-22,236201.13332926878,2006,1,22,11,present
2004-01-06,240070.6799999696,2004,1,6,12,present
1992-01-30,241115.4899329681,1992,1,30,13,present
1989-02-23,248885.73111183278,1989,2,23,14,present
1996-03-23,250567.54577736213,1996,3,23,15,present
